name,price,description,image_urls
Gold Pink Kundan Meena Dangler Earrings,925,Thoughtfully designed with a mix of delicate filigree enchanting meena work and the playfulness of white beads this pair of dangler earrings is a statement in itself It features gold plating pink enamel work and tiers of white beads   Style Tip Pull your hair black in a soft bun to flaunt these beauties  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00351/d3.jpg,https://img.faballey.com/images/Product/ZEA00351/d4.jpg,https://img.faballey.com/images/Product/ZEA00351/d5.jpg,https://img.faballey.com/images/Product/ZEA00351/d6.jpg"
Gold Kundan Green Beads Chandbali Earrings,725,Classic chandbali earrings get a pop finish with this pair Encrusted with kundan stones these goldplated earrings feature a floral motif and charming green beads   Style Tip Complete the look with a greenbeaded maangtika  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00469/d3.jpg,https://img.faballey.com/images/Product/ZEA00469/d4.jpg,https://img.faballey.com/images/Product/ZEA00469/d5.jpg,https://img.faballey.com/images/Product/ZEA00469/d6.jpg"
Gold Maroon Kundan Seed Bead Chand Maang Tika,600,Pick this exquisitelydesigned goldplated kundan maang tika for when you want to make a statement with your jewelry Ornately crafted it features a kundan encrusted chandbalistyle piece with faux seed bead pearls and a maroon drop   Style Tip Skip the earrings to keep the look tasteful   Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size color and shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZMT00041/d3.jpg,https://img.faballey.com/images/Product/ZMT00041/d4.jpg,https://img.faballey.com/images/Product/ZMT00041/d5.jpg,https://img.faballey.com/images/Product/ZMT00041/d6.jpg"
Gold Blue Textured Disc Stud Earrings,550,Give your look a polished finish with this pair of gold and blue stud earrings Features gold plated textured discs with blue stone center   Style Tip  Style these with a formal dress and nude heels,"https://img.faballey.com/images/Product/ZEA00275/d3.jpg,https://img.faballey.com/images/Product/ZEA00275/d4.jpg,https://img.faballey.com/images/Product/ZEA00275/d5.jpg,https://img.faballey.com/images/Product/ZEA00275/d6.jpg"
Mint Green Crystal Bangle Set,1300,Type Bangles  Color Green White Gold  Composition Alloy Crystal  Closure Slip On  Length  65 Mm,"https://img.faballey.com/images/Product/ZBR00077/d3.jpg,https://img.faballey.com/images/Product/ZBR00077/d4.jpg,https://img.faballey.com/images/Product/ZBR00077/d5.jpg,https://img.faballey.com/images/Product/ZBR00077/d6.jpg,https://img.faballey.com/images/Product/ZBR00077/d7.jpg"
Gold Blue Kundan Meena Chandbali Earrings,550,Pepper your look with easy elegance with this simple yet striking pair of goldplated blue chandbali earrings It features enchanting meena work and faux pearl drops   Style Tip Complete the look with a cocktail ring,"https://img.faballey.com/images/Product/ZEA00455/d3.jpg,https://img.faballey.com/images/Product/ZEA00455/d4.jpg,https://img.faballey.com/images/Product/ZEA00455/d5.jpg,https://img.faballey.com/images/Product/ZEA00455/d6.jpg"
Gold Pearl Studded Bangle Set,1250,Complete your festive look with this goldplated studded bangle set Featuring the classic faux pearls and crystals this pair will become you last minute fix for any event you attend   Style Tip Pair the bangles with pearl dangler earrings to complete your look   Disclaimer Our jewellery is handcrafted using natural stones which inherently vary in size color and shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZBR00074/d3.jpg,https://img.faballey.com/images/Product/ZBR00074/d4.jpg,https://img.faballey.com/images/Product/ZBR00074/d5.jpg,https://img.faballey.com/images/Product/ZBR00074/d6.jpg,https://img.faballey.com/images/Product/ZBR00074/d7.jpg"
Gold Pearl Cluster Drop Dangler Earrings,250,Type Dangler  Color Gold White  Composition Brass Faux Pearls  Closure Ear wire  Length  30 Mm,"https://img.faballey.com/images/Product/ZEA00437/d3.jpg,https://img.faballey.com/images/Product/ZEA00437/d4.jpg,https://img.faballey.com/images/Product/ZEA00437/d5.jpg,https://img.faballey.com/images/Product/ZEA00437/d6.jpg"
Gold Green Floral Chain Dangler Earrings,950,With a fresh and easytostyle design this pair of goldplated floral chain danglers is a musthave for your festive ensembles It features a green kundan encrusted floral motif with delicate metallic chains topped with white beads   Style Tip Flaunt the pair with a deep neckline and pulled back hair   Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size color and shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZEA00465/d3.jpg,https://img.faballey.com/images/Product/ZEA00465/d4.jpg,https://img.faballey.com/images/Product/ZEA00465/d5.jpg,https://img.faballey.com/images/Product/ZEA00465/d6.jpg"
Gold Crystal Pearl Circular Stud Earrings,1100,Piece together a winning festive look with this pair of dazzling gold stud earrings It features crystalstudded concentric circles with a goldtoned faux pearl center   Style Tip Complete the look with a statement cuff   Disclaimer Our jewellery is handcrafted using natural stones which inherently vary in size color and shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZEA00479/d3.jpg,https://img.faballey.com/images/Product/ZEA00479/d4.jpg,https://img.faballey.com/images/Product/ZEA00479/d5.jpg,https://img.faballey.com/images/Product/ZEA00479/d6.jpg"
